valid,category,pass,pipeline,returncode,stderr
1,function,strip-gc-relocates,function(strip-gc-relocates),0,
1,function,tailcallelim,function(tailcallelim),0,
1,function,transform-warning,function(transform-warning),0,warning: <unknown>:0:0: loop not vectorized: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering warning: <unknown>:0:0: loop not vectorized: the optimizer was unable to perform the requested transformation; the transformation might be disabled or specified as part of an unsupported transformation ordering warning: <unknown>:0:0: loop not vectorized: the optimizer was unable to perfo
1,function,typepromotion,function(typepromotion),0,
1,function,unify-loop-exits,function(unify-loop-exits),0,
1,function,unreachableblockelim,function(unreachableblockelim),0,
1,function,vector-combine,function(vector-combine),0,
1,function,wasm-eh-prepare,function(wasm-eh-prepare),0,
1,function,cfguard,function(cfguard),0,
1,function,early-cse,function(early-cse),0,
1,function,ee-instrument,function(ee-instrument),0,
1,function,gvn,function(gvn),0,
1,function,hardware-loops,function(hardware-loops),0,
1,function,instcombine,function(instcombine),0,
1,function,loop-unroll,function(loop-unroll),0,
1,function,loop-vectorize,function(loop-vectorize),0,remark: <unknown>:0:0: loop not vectorized: value that could not be identified as reduction is used outside the loop remark: <unknown>:0:0: loop not vectorized: Cannot vectorize uncountable loop remark: <unknown>:0:0: loop not vectorized: Cannot vectorize uncountable loop remark: <unknown>:0:0: loop not vectorized: Cannot vectorize uncountable loop remark: <unknown>:0:0: loop not vectorized: Cannot vectorize uncountable loop remark: <unknown>:0:0: loop not vectorized: Cannot vectorize uncountabl
1,function,lower-allow-check,function(lower-allow-check),0,
1,function,lower-matrix-intrinsics,function(lower-matrix-intrinsics),0,
1,function,mldst-motion,function(mldst-motion),0,
1,function,scalarizer,function(scalarizer),0,
1,function,simplifycfg,function(simplifycfg),0,
1,function,speculative-execution,function(speculative-execution),0,
1,function,sroa,function(sroa),0,
1,function,structurizecfg,function(structurizecfg),0,
1,function,win-eh-prepare,function(win-eh-prepare),0,
1,function,bounds-checking,function(bounds-checking),0,
1,function,expand-fp,function(expand-fp),0,
1,loop,canon-freeze,function(loop(canon-freeze)),0,
1,loop,evl-iv-simplify,function(loop(evl-iv-simplify)),0,
1,loop,guard-widening,function(loop(guard-widening)),0,
1,loop,extra-simple-loop-unswitch-passes,function(loop(extra-simple-loop-unswitch-passes)),0,
1,loop,indvars,function(loop(indvars)),0,
1,loop,loop-bound-split,function(loop(loop-bound-split)),0,
1,loop,loop-deletion,function(loop(loop-deletion)),0,
1,loop,loop-idiom,function(loop(loop-idiom)),0,
1,loop,loop-idiom-vectorize,function(loop(loop-idiom-vectorize)),0,
1,loop,loop-instsimplify,function(loop(loop-instsimplify)),0,
1,loop,loop-predication,function(loop(loop-predication)),0,
1,loop,loop-reduce,function(loop(loop-reduce)),0,
1,loop,loop-term-fold,function(loop(loop-term-fold)),0,
1,loop,loop-simplifycfg,function(loop(loop-simplifycfg)),0,
1,loop,loop-unroll-full,function(loop(loop-unroll-full)),0,
1,loop,loop-versioning-licm,function(loop(loop-versioning-licm)),0,
1,loop,loop-rotate,function(loop(loop-rotate)),0,
1,loop,simple-loop-unswitch,function(loop(simple-loop-unswitch)),0,
0,module,attributor,attributor,124,timeout
0,module,ctx-prof-flatten-prethinlink,ctx-prof-flatten-prethinlink,-11,"PLEASE submit a bug report to https://github.com/llvm/llvm-project/issues/ and include the crash backtrace and instructions to reproduce the bug. Stack dump: 0. Program arguments: opt -S -passes=ctx-prof-flatten-prethinlink dataset/ll/yarpgen_seed_1_-O2.ll -o /root/project/RuyiTuner/build/pass_extract/out.ll 1. Running pass ""ctx-prof-flatten"" on module ""dataset/ll/yarpgen_seed_1_-O2.ll"" #0 0x00005e66a28f9bf2 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/usr/local/bin/opt+0x4ce4bf2) #1 0x"
0,module,function-import,function-import,-6,"LLVM ERROR: error: -function-import requires -summary-file PLEASE submit a bug report to https://github.com/llvm/llvm-project/issues/ and include the crash backtrace and instructions to reproduce the bug. Stack dump: 0. Program arguments: opt -S -passes=function-import dataset/ll/yarpgen_seed_1_-O2.ll -o /root/project/RuyiTuner/build/pass_extract/out.ll 1. Running pass ""function-import"" on module ""dataset/ll/yarpgen_seed_1_-O2.ll"" #0 0x000057d2be436bf2 llvm::sys::PrintStackTrace(llvm::raw_ostrea"
0,module,inliner-ml-advisor-release,inliner-ml-advisor-release,1,error: Could not setup Inlining Advisor for the requested mode and/or options
0,module,iroutliner,iroutliner,124,timeout
0,module,sample-profile,sample-profile,1,error: Could not open profile: No such file or directory
0,module,default,default,1,opt: invalid optimization level ''
0,module,thinlto-pre-link,thinlto-pre-link,1,opt: invalid optimization level ''
0,module,thinlto,thinlto,1,opt: invalid optimization level ''
0,module,lto-pre-link,lto-pre-link,1,opt: invalid optimization level ''
0,module,lto,lto,1,opt: invalid optimization level ''
0,module,fatlto-pre-link,fatlto-pre-link,1,opt: missing optimization level for fatlto-pre-link pipeline
0,cgscc,attributor-cgscc,cgscc(attributor-cgscc),124,timeout
0,function,codegenprepare,function(codegenprepare),-11,"PLEASE submit a bug report to https://github.com/llvm/llvm-project/issues/ and include the crash backtrace and instructions to reproduce the bug. Stack dump: 0. Program arguments: opt -S -passes=function(codegenprepare) dataset/ll/yarpgen_seed_1_-O2.ll -o /root/project/RuyiTuner/build/pass_extract/out.ll 1. Running pass ""function(codegenprepare)"" on module ""dataset/ll/yarpgen_seed_1_-O2.ll"" 2. Running pass ""codegenprepare"" on function ""_Z4hashPyy"" #0 0x00005c806a683bf2 llvm::sys::PrintStackTrace"
0,function,free-machine-function,function(free-machine-function),-11,"PLEASE submit a bug report to https://github.com/llvm/llvm-project/issues/ and include the crash backtrace and instructions to reproduce the bug. Stack dump: 0. Program arguments: opt -S -passes=function(free-machine-function) dataset/ll/yarpgen_seed_1_-O2.ll -o /root/project/RuyiTuner/build/pass_extract/out.ll 1. Running pass ""function(free-machine-function)"" on module ""dataset/ll/yarpgen_seed_1_-O2.ll"" 2. Running pass ""free-machine-function"" on function ""_Z4hashPyy"" #0 0x000064a22fb74bf2 llvm:"
0,function,loop-fusion,function(loop-fusion),124,timeout
0,function,prof-verify,function(prof-verify),1,error: Profile verification failed: function entry count missing (set to 0 if cold)
0,function,select-optimize,function(select-optimize),-11,"PLEASE submit a bug report to https://github.com/llvm/llvm-project/issues/ and include the crash backtrace and instructions to reproduce the bug. Stack dump: 0. Program arguments: opt -S -passes=function(select-optimize) dataset/ll/yarpgen_seed_1_-O2.ll -o /root/project/RuyiTuner/build/pass_extract/out.ll 1. Running pass ""function(select-optimize)"" on module ""dataset/ll/yarpgen_seed_1_-O2.ll"" 2. Running pass ""select-optimize"" on function ""_Z4testxaitsyhxbhhysxsxiPA12_bPA12_tPA12_A12_yPA12_A12_sP"
0,function,function-simplification,function(function-simplification),1,opt: invalid function-simplification parameter ''
0,function,normalize,function(normalize),124,timeout
0,loopnest,loop-flatten,function(loopnest(loop-flatten)),1,opt: invalid use of 'loopnest' pass as function pipeline
0,loopnest,loop-interchange,function(loopnest(loop-interchange)),1,opt: invalid use of 'loopnest' pass as function pipeline
0,loopnest,loop-unroll-and-jam,function(loopnest(loop-unroll-and-jam)),1,opt: invalid use of 'loopnest' pass as function pipeline
0,loop,licm,function(loop(licm)),1,LLVM ERROR: LICM requires MemorySSA (loop-mssa)
0,loop,lnicm,function(loop(lnicm)),1,LLVM ERROR: LNICM requires MemorySSA (loop-mssa)
